"pair","species","female_choice","first_choice","scape_side","carapace_length_mm","claw_vertical_size_mm","claw_length_mm"
"1","leptodactyla",3,1,1,10.3,5.5,18.6
"1","cumulanta",0,0,0,10.1,5.9,18.7
"2","leptodactyla",3,1,1,9.9,5.5,19.1
"2","cumulanta",0,0,3,10.5,6.1,19.4
"3","leptodactyla",1,0,8,9.5,5.5,17.8
"3","cumulanta",2,1,5,10.4,6,18.6
"4","leptodactyla",2,0,3,10,4,19.6
"4","cumulanta",1,1,2,11.1,6,19.2
"5","leptodactyla",3,1,6,11,5.8,21.2
"5","cumulanta",0,0,1,11.4,7,21.7
"6","leptodactyla",3,1,5,8.6,5.5,17.5
"6","cumulanta",0,0,1,9.5,4.9,16.6
"7","leptodactyla",3,1,5,9.6,5.5,17.5
"7","cumulanta",0,0,0,9.5,4.9,16.6
"8","leptodactyla",3,1,2,11.7,5,20.2
"8","cumulanta",0,0,0,9,6.5,19.4
"9","leptodactyla",2,1,6,11.1,6.4,20.7
"9","cumulanta",1,0,4,10.8,6.5,19.9
"10","leptodactyla",2,1,1,10.1,6,20.2
"10","cumulanta",1,0,0,11.4,6.2,20
"11","leptodactyla",3,1,3,9.5,4.9,14.6
"11","cumulanta",0,0,0,13.1,6.2,15.9
"12","leptodactyla",2,1,7,10.2,5.9,19.7
"12","cumulanta",1,0,3,10.7,6.3,19
"13","leptodactyla",2,0,5,10.6,5.5,17.9
"13","cumulanta",1,1,2,11.1,6.6,18.8
"14","leptodactyla",3,1,3,10.5,5.5,18.5
"14","cumulanta",0,0,4,9.92,5.4,18.6
"15","leptodactyla",3,1,5,10.15,5.3,14.3
"15","cumulanta",0,0,2,9.83,4.2,14.6
"16","leptodactyla",2,1,6,10.15,5.4,16.03
"16","cumulanta",1,0,3,9.91,5.2,15.8
"17","leptodactyla",2,1,5,10.4,5.9,15.7
"17","cumulanta",1,0,2,11.02,5,14.9
"18","leptodactyla",3,1,8,10.27,6.8,20.42
"18","cumulanta",0,0,4,9.94,5.9,20.54
"19","leptodactyla",3,1,6,9.84,6.1,18.7
"19","cumulanta",0,0,7,10.33,5.2,19.37
"20","leptodactyla",3,1,7,9.27,6.9,23.12
"20","cumulanta",0,0,8,10.22,5.5,23.11
